timestamp,x,y,yaw,cte,yaw_err,steer_cmd,v_cmd
1769503410987643022,-5.0836,-1.2042,1.6323,0.0582,-0.1630,-1.0000,0.04
1769503411038544000,-5.0836,-1.2042,1.6322,0.0582,-0.1630,-1.0000,0.08
1769503411087608125,-5.0836,-1.2042,1.6320,0.0582,-0.1627,-1.0000,0.12
1769503411136621661,-5.0833,-1.2045,1.6342,0.0576,-0.1643,-1.0000,0.16
1769503411188475496,-5.0834,-1.2049,1.6360,0.0578,-0.1663,-1.0000,0.20
1769503411236953482,-5.0835,-1.2030,1.6386,0.0581,-0.1695,-1.0000,0.24
1769503411286627264,-5.0836,-1.1997,1.6425,0.0583,-0.1741,-1.0000,0.28
1769503411336254439,-5.0837,-1.1955,1.6418,0.0586,-0.1794,-1.0000,0.32
1769503411387043452,-5.0844,-1.1878,1.6292,0.0600,-0.1747,-1.0000,0.36
1769503411438283489,-5.0850,-1.1737,1.5931,0.0614,-0.1481,-0.8898,0.40
1769503411494595811,-5.0849,-1.1577,1.5510,0.0610,-0.1210,-0.6202,0.40
1769503411536175057,-5.0843,-1.1419,1.5151,0.0598,-0.0943,-0.3758,0.40
1769503411586529068,-5.0825,-1.1207,1.4679,0.0559,-0.0698,-0.1397,0.40
1769503411636623698,-5.0788,-1.0944,1.4148,0.0432,-0.1807,-0.7142,0.40
1769503411687454531,-5.0745,-1.0718,1.3892,0.0348,-0.1874,-0.8539,0.40
1769503411736523441,-5.0707,-1.0539,1.3725,0.0272,-0.1937,-0.9453,0.40
1769503411786205927,-5.0663,-1.0333,1.3511,0.0184,-0.2070,-1.0000,0.40
1769503411837028560,-5.0663,-1.0333,1.3511,0.0202,-0.0286,0.0188,0.40
1769503411891948633,-5.0555,-0.9946,1.2689,-0.0033,-0.1953,-0.8431,0.40
1769503411937071524,-5.0504,-0.9808,1.2381,-0.0135,-0.1886,-0.8886,0.40
1769503411987063560,-5.0447,-0.9637,1.2037,-0.0248,-0.1808,-0.8834,0.40
1769503412039335584,-5.0365,-0.9429,1.1741,-0.0412,-0.2008,-1.0000,0.40
1769503412091014046,-5.0288,-0.9255,1.1349,-0.0624,0.0486,0.5509,0.40
1769503412137012793,-5.0220,-0.9113,1.1040,-0.0703,-0.1963,-0.7812,0.40
1769503412186352627,-5.0168,-0.8960,1.0766,-0.0807,-0.2101,-1.0000,0.40
1769503412239538436,-5.0110,-0.8781,1.0418,-0.1016,0.0522,0.5580,0.40
1769503412287104299,-5.0026,-0.8624,1.0117,-0.1091,-0.2148,-0.9485,0.40
1769503412336529644,-4.9943,-0.8487,0.9778,-0.1257,-0.2064,-1.0000,0.40
1769503412386720085,-4.9820,-0.8327,0.9347,-0.1652,0.0618,0.5083,0.40
1769503412439369878,-4.9682,-0.8134,0.9019,-0.1787,-0.2000,-0.9802,0.40
1769503412488610787,-4.9562,-0.7988,0.8643,-0.2237,0.0540,0.4399,0.40
1769503412536544492,-4.9459,-0.7886,0.8325,-0.2226,-0.1738,-0.8586,0.40
1769503412585960075,-4.9344,-0.7770,0.8052,-0.2431,-0.1670,-1.0000,0.40
1769503412637771846,-4.9202,-0.7628,0.7655,-0.2940,0.0507,0.2787,0.40
1769503412685862928,-4.9202,-0.7628,0.7655,-0.2672,-0.1568,-0.8597,0.40
1769503412735911916,-4.9043,-0.7457,0.7084,-0.2917,-0.1229,-0.8153,0.40
1769503412787033833,-4.8861,-0.7291,0.6408,-0.3184,-0.0843,-0.6446,0.40
1769503412835827906,-4.8677,-0.7172,0.5978,-0.3454,-0.0644,-0.5353,0.40
1769503412885860893,-4.8677,-0.7172,0.5978,-0.3454,-0.0644,-0.5132,0.40
1769503412936023269,-4.8338,-0.7006,0.5115,-0.3946,-0.0028,-0.1829,0.40
1769503412985819127,-4.8189,-0.6972,0.4932,-0.4179,0.0078,-0.0959,0.40
