timestamp,x,y,yaw,cte,yaw_err,steer_cmd,v_cmd
1769503410979517558,-4.0421,-0.0339,-0.1045,0.2233,-0.0198,0.1059,0.04
1769503411037556908,-4.0421,-0.0340,-0.1023,0.2231,-0.0219,0.0793,0.08
1769503411080163567,-4.0413,-0.0341,-0.1029,0.2226,-0.0192,0.0901,0.12
1769503411130429906,-4.0378,-0.0344,-0.1053,0.2217,-0.0170,0.1049,0.16
1769503411180876735,-4.0342,-0.0347,-0.1036,0.2209,-0.0190,0.0984,0.20
1769503411231219469,-4.0234,-0.0363,-0.0929,0.2160,-0.0272,0.0493,0.24
1769503411281181443,-4.0135,-0.0374,-0.0881,0.2128,-0.0302,0.0273,0.28
1769503411328552612,-4.0036,-0.0384,-0.0824,0.2099,-0.0342,0.0013,0.32
1769503411379732966,-3.9899,-0.0394,-0.0799,0.2067,-0.0338,0.0019,0.36
1769503411436576789,-3.9718,-0.0409,-0.0746,0.2022,-0.0363,-0.0122,0.40
1769503411480284095,-3.9661,-0.0413,-0.0757,0.2012,-0.0357,-0.0059,0.40
1769503411528538417,-3.9383,-0.0435,-0.0750,0.1945,-0.0324,0.0132,0.40
1769503411578809315,-3.9178,-0.0453,-0.0765,0.1892,-0.0280,0.0422,0.40
1769503411632139348,-3.8932,-0.0472,-0.0782,0.1835,-0.0223,0.0801,0.40
1769503411681818813,-3.8722,-0.0492,-0.0784,0.1773,-0.0188,0.1037,0.40
1769503411729942065,-3.8553,-0.0503,-0.0811,0.1742,-0.0155,0.1266,0.40
1769503411778816233,-3.8357,-0.0519,-0.0799,0.1693,-0.0140,0.1352,0.40
1769503411828727135,-3.8357,-0.0519,-0.0799,0.1693,-0.0140,0.1366,0.40
1769503411891383908,-3.7952,-0.0556,-0.0808,0.1583,-0.0071,0.1653,0.40
1769503411931310946,-3.7858,-0.0561,-0.0829,0.1567,-0.0040,0.1828,0.40
1769503411986662757,-3.7603,-0.0583,-0.0805,0.1501,-0.0022,0.1871,0.40
1769503412034588614,-3.7378,-0.0601,-0.0777,0.1448,-0.0007,0.1889,0.40
1769503412086565693,-3.7186,-0.0619,-0.0729,0.1394,-0.0033,0.1645,0.40
1769503412128948244,-3.7024,-0.0630,-0.0692,0.1359,-0.0032,0.1559,0.40
1769503412179427645,-3.6828,-0.0647,-0.0648,0.1308,-0.0026,0.1484,0.40
1769503412236513610,-3.6608,-0.0662,-0.0607,0.1263,-0.0015,0.1449,0.40
1769503412280057494,-3.6413,-0.0672,-0.0554,0.1235,-0.0018,0.1374,0.40
1769503412328755792,-3.6250,-0.0686,-0.0522,0.1192,0.0019,0.1516,0.40
1769503412378905708,-3.6058,-0.0694,-0.0459,0.1168,0.0019,0.1482,0.40
1769503412429822109,-3.5931,-0.0702,-0.0426,0.1145,0.0024,0.1470,0.40
1769503412485438067,-3.5642,-0.0713,-0.0343,0.1110,0.0054,0.1590,0.40
1769503412529309398,-3.5480,-0.0721,-0.0288,0.1086,0.0083,0.1732,0.40
1769503412577963991,-3.5288,-0.0728,-0.0255,0.1066,0.0139,0.2042,0.40
1769503412627924022,-3.5159,-0.0732,-0.0216,0.1053,0.0148,0.2099,0.40
1769503412678027271,-3.5063,-0.0735,-0.0195,0.1044,0.0175,0.2242,0.40
1769503412727936166,-3.4806,-0.0742,-0.0124,0.1024,0.0254,0.2676,0.40
1769503412783409151,-3.4581,-0.0748,-0.0043,0.1007,0.0284,0.2851,0.40
1769503412827834562,-3.4390,-0.0749,0.0014,0.1004,0.0338,0.3155,0.40
