timestamp,x,y,yaw,cte,yaw_err,steer_cmd,v_cmd
1769503410979725874,-3.9000,2.5963,-0.0054,0.1018,-0.0777,-0.3027,0.04
1769503411029560583,-3.9000,2.5963,-0.0060,0.0927,-0.0596,-0.2375,0.08
1769503411080512102,-3.9021,2.5960,-0.0031,0.0000,-0.0957,-0.3249,0.12
1769503411130805561,-3.9116,2.5960,0.0005,0.0000,-0.0959,-0.3436,0.16
1769503411176033557,-3.9178,2.5964,0.0071,0.0000,-0.1023,-0.3630,0.20
1769503411229014108,-3.9232,2.5969,0.0204,0.0000,-0.1131,-0.3889,0.24
1769503411281312347,-3.9189,2.5977,0.0080,0.0000,-0.1044,-0.3506,0.28
1769503411326403526,-3.9120,2.5977,-0.0049,0.0000,-0.0921,-0.2938,0.32
1769503411375414021,-3.9007,2.5978,-0.0306,0.0000,-0.0728,-0.2067,0.36
1769503411427206719,-3.8942,2.5977,-0.0445,0.0000,-0.0595,-0.1336,0.40
1769503411475662793,-3.8791,2.5970,-0.0644,0.0000,-0.0459,-0.0669,0.40
1769503411525050454,-3.8510,2.5949,-0.0934,0.0000,-0.0271,0.0120,0.40
1769503411575016404,-3.8300,2.5923,-0.1110,0.0000,-0.0161,0.0635,0.40
1769503411625467577,-3.8193,2.5913,-0.1160,0.0000,-0.0150,0.0757,0.40
1769503411682293560,-3.7853,2.5860,-0.1259,0.0000,-0.0192,0.0582,0.40
1769503411726745797,-3.7686,2.5843,-0.1318,0.0000,-0.0220,0.0396,0.40
1769503411775029693,-3.7489,2.5818,-0.1339,0.0000,-0.0289,0.0048,0.40
1769503411825207536,-3.7489,2.5818,-0.1339,0.0000,-0.0289,-0.0112,0.40
1769503411889937963,-3.7067,2.5760,-0.1371,0.0000,-0.0495,-0.0929,0.40
1769503411931427385,-3.6970,2.5752,-0.1400,0.0000,-0.0524,-0.1170,0.40
1769503411977095894,-3.6785,2.5717,-0.1427,0.0000,-0.0596,-0.1497,0.40
1769503412025563863,-3.6595,2.5698,-0.1454,0.0000,-0.0689,-0.1871,0.40
1769503412086012994,-3.6308,2.5650,-0.1545,0.0000,-0.0770,-0.2197,0.40
1769503412125422391,-3.6155,2.5624,-0.1608,0.0000,-0.0825,-0.2393,0.40
1769503412175416539,-3.5964,2.5606,-0.1700,0.0000,-0.0929,-0.2725,0.40
1769503412225868533,-3.5841,2.5568,-0.1735,0.0000,-0.0946,-0.2781,0.40
1769503412277673972,-3.5551,2.5521,-0.1925,0.0000,-0.1024,-0.2971,0.40
1769503412326418387,-3.5389,2.5485,-0.2048,0.0000,-0.1035,-0.2960,0.40
1769503412379006546,-3.5198,2.5450,-0.2201,0.0000,-0.1030,-0.2855,0.40
1769503412426196098,-3.5067,2.5422,-0.2284,0.0000,-0.1088,-0.2937,0.40
1769503412482766874,-3.4788,2.5347,-0.2495,0.0000,-0.1158,-0.3078,0.40
1769503412526490516,-3.4630,2.5316,-0.2635,0.0000,-0.1179,-0.3097,0.40
1769503412574546054,-3.4443,2.5267,-0.2775,0.0000,-0.1197,-0.3091,0.40
1769503412624750921,-3.4322,2.5225,-0.2852,0.0000,-0.1264,-0.3230,0.40
1769503412674613723,-3.4230,2.5196,-0.2924,0.0000,-0.1341,-0.3423,0.40
1769503412724562289,-3.3986,2.5130,-0.3136,0.0000,-0.1381,-0.3518,0.40
1769503412774512946,-3.3899,2.5097,-0.3205,0.0000,-0.1391,-0.3501,0.40
1769503412824830554,-3.3598,2.4991,-0.3460,0.0000,-0.1541,-0.3905,0.40
1769503412874561130,-3.3507,2.4959,-0.3539,-0.1082,0.1341,0.8900,0.40
1769503412924415748,-3.3262,2.4868,-0.3759,0.0000,-0.1673,-0.1472,0.40
