X,Y
1.912,2.55
1.915,2.455
1.922,2.55
1.924,2.46
1.932,2.465
1.932,2.55
1.941,2.47
1.942,2.55
1.95,2.474
1.952,2.55
1.958,2.479
1.962,2.55
1.967,2.484
1.972,2.55
1.976,2.488
1.982,2.55
1.985,2.492
1.992,2.55
1.994,2.496
