X,Y

1.16, -0.58
1.16. -0.57
1.17, -0.60
1.18, -0.60
1.19, -0.61
1.20, -0.62
1.21, -0.63
1.22, -0.63
1.23, -0.64
1.23418845232563,-0.643107762447623
1.2425151309964,-0.648629690030111
1.25091230463182,-0.654043813860354
